buyer_week_before,clicked_buy_before,country,existing_buyer,made_purchase_before,saw_cart_before,spend_usd_next_14_days,user_added_credit_card,user_added_dcb,user_added_fop,user_added_gift_card,user_added_paypal,user_id,visit_before
0,1,CA,1,1,1,7.398815,1,0,1,0,0,2.34E+18,1
0,1,US,1,1,1,33.82,1,1,1,0,1,1.03E+19,1
0,1,US,1,1,1,2.99,1,0,1,1,0,1.24E+18,1
6,1,TW,1,1,1,396.437891,1,1,1,0,0,3.53E+18,1
2,1,JP,1,1,1,7.619224,0,1,1,0,0,1.30E+19,1
6,1,KR,1,1,1,33.369935,1,1,1,0,0,9.97E+18,1
8,1,GB,1,1,1,152.073428,1,0,1,0,0,1.32E+19,1
3,1,KR,1,1,1,14.414418,0,1,1,0,0,1.37E+19,1
0,0,US,1,0,1,9.99,1,0,1,1,0,8.23E+16,1
0,1,US,1,1,1,5.98,0,1,1,0,0,1.33E+19,1
0,1,TH,1,0,1,1.083211,0,1,1,0,0,1.50E+19,1
1,1,KR,1,1,1,12.74666,1,0,1,0,0,1.55E+19,1
3,1,JP,1,1,1,64.781047,1,1,1,0,0,1.50E+19,1
6,1,JP,1,1,1,215.579886,0,1,1,1,0,1.58E+19,1
0,1,US,1,1,1,16.98,1,0,1,0,1,1.63E+19,1
6,1,,1,1,1,37.077123,0,0,1,0,1,6.63E+18,1
0,0,ID,1,0,1,1.127959,0,1,1,0,0,3.88E+18,1
0,0,US,1,0,1,29.98,0,0,1,1,0,5.17E+18,1
5,1,KR,1,1,1,6.28266,0,1,1,0,0,1.17E+19,1
8,1,DE,1,1,1,19.74693,0,1,1,1,1,6.71E+18,1
0,0,US,1,0,1,9.47,0,0,1,1,0,5.32E+18,1
0,1,US,1,1,1,0.99,1,1,1,0,0,3.07E+18,1
4,1,RU,1,1,1,12.127734,0,1,1,0,0,6.29E+18,1
3,1,CA,1,1,1,6.346464,0,0,1,1,0,9.34E+17,1
0,1,US,1,1,1,3.97,1,0,1,0,0,1.83E+19,1
1,1,KR,1,1,1,5.570544,1,0,1,0,0,1.10E+19,1
0,0,US,1,0,1,38.99,1,0,1,0,0,1.28E+18,1
0,1,NZ,1,1,1,1.053074,1,0,1,0,0,3.76E+18,1
8,1,FR,1,1,1,58.184814,1,1,1,0,0,9.30E+18,1
0,1,US,1,1,1,0.99,1,0,1,0,0,1.73E+19,1
8,1,AU,1,1,1,162.116989,1,0,1,0,0,8.39E+18,1
0,1,US,1,1,1,1.99,1,0,1,1,0,1.29E+18,1
1,1,GB,1,1,1,1.918789,0,0,1,0,1,1.19E+19,1
6,1,,1,1,1,6.98,1,0,1,0,0,6.10E+17,1
1,1,IL,1,1,1,28.020394,1,0,1,0,0,9.07E+18,1
0,1,US,0,0,1,5.33,0,0,1,1,0,1.55E+19,1
7,1,CH,1,1,1,9.892045,0,1,1,1,0,1.51E+19,1
0,0,US,1,0,0,0.99,1,0,1,0,0,1.54E+19,1
7,1,BR,1,1,1,311.359044,1,0,1,1,0,7.06E+17,1
5,1,MX,1,1,1,6.193951,1,0,1,0,0,5.98E+18,1
2,1,RU,1,1,1,5.276404,1,1,1,0,0,1.15E+19,1
8,1,TW,1,1,1,91.126163,1,1,1,0,0,1.33E+18,1
0,0,US,1,0,1,19.99,1,0,1,0,0,1.01E+19,1
0,1,ID,0,0,1,0.902522,0,1,1,0,0,1.62E+19,1
7,1,KR,1,1,1,465.951439,1,1,1,0,0,1.80E+19,1
0,1,US,1,1,1,4.99,1,0,1,1,0,1.11E+19,1
0,0,US,1,0,1,7.97,1,0,1,0,0,1.54E+19,1
0,0,US,0,0,1,9.99,1,0,1,0,0,1.78E+19,1
5,1,TW,1,1,1,217.169872,0,1,1,0,0,1.85E+18,1
6,1,DE,1,1,1,5.225451,0,1,1,1,0,1.34E+19,1
0,1,US,1,1,1,35.87,1,0,1,0,0,8.58E+18,1
1,1,ID,1,1,1,1.662151,0,1,1,0,0,8.60E+18,1
1,0,IT,1,0,1,1.447418,1,0,1,0,0,1.68E+19,1
0,0,US,1,0,1,24.97,0,0,1,1,0,8.74E+18,1
1,1,TH,1,1,1,17.429276,0,1,1,0,0,1.56E+19,1
8,1,HK,1,1,1,123.879456,0,0,1,1,0,9.47E+18,1
7,1,KR,1,1,1,350.158849,0,1,1,0,0,1.49E+19,1
0,1,US,1,1,1,1.61,1,0,1,0,0,1.64E+19,1
0,0,US,1,0,1,2.99,0,1,1,0,0,3.56E+18,1
